id,title,description,instructions,duration_minutes,total_questions,passing_score,status,created_by_id,created_at,updated_at
1,Vision Integrity Assessment,This exam covers vision integrity assessment topics and expected workflows.,Review each question carefully and submit when complete.,15,12,50,active,1,2025-02-02 00:00:00,2025-02-03 00:00:00
2,Proctoring Awareness Test,This exam covers proctoring awareness test topics and expected workflows.,Review each question carefully and submit when complete.,15,10,75,active,1,2025-02-03 00:00:00,2025-02-04 00:00:00
3,Learning Behavior Check,This exam covers learning behavior check topics and expected workflows.,Review each question carefully and submit when complete.,20,11,65,draft,1,2025-02-04 00:00:00,2025-02-05 00:00:00
4,Monitoring Security Quiz,This exam covers monitoring security quiz topics and expected workflows.,Review each question carefully and submit when complete.,90,10,50,draft,1,2025-02-05 00:00:00,2025-02-06 00:00:00
5,Exam Ethics Evaluation,This exam covers exam ethics evaluation topics and expected workflows.,Review each question carefully and submit when complete.,15,12,60,draft,1,2025-02-06 00:00:00,2025-02-07 00:00:00
6,Adaptive Reasoning Exam,This exam covers adaptive reasoning exam topics and expected workflows.,Review each question carefully and submit when complete.,60,8,75,draft,1,2025-02-07 00:00:00,2025-02-08 00:00:00
7,Session Readiness Calibration,This exam covers session readiness calibration topics and expected workflows.,Review each question carefully and submit when complete.,90,12,75,archived,1,2025-02-08 00:00:00,2025-02-09 00:00:00
8,AI Proctoring Validation,This exam covers ai proctoring validation topics and expected workflows.,Review each question carefully and submit when complete.,45,9,80,archived,1,2025-02-09 00:00:00,2025-02-10 00:00:00
9,Exam Setup Survey,This exam covers exam setup survey topics and expected workflows.,Review each question carefully and submit when complete.,20,12,50,archived,1,2025-02-10 00:00:00,2025-02-11 00:00:00
10,Rule Compliance Assessment,This exam covers rule compliance assessment topics and expected workflows.,Review each question carefully and submit when complete.,60,8,60,archived,1,2025-02-11 00:00:00,2025-02-12 00:00:00
11,Performance Metrics Test,This exam covers performance metrics test topics and expected workflows.,Review each question carefully and submit when complete.,45,8,50,draft,12,2025-02-12 00:00:00,2025-02-13 00:00:00
12,Secure Exam Practice,This exam covers secure exam practice topics and expected workflows.,Review each question carefully and submit when complete.,60,12,50,draft,7,2025-02-13 00:00:00,2025-02-14 00:00:00
13,User Experience Audit,This exam covers user experience audit topics and expected workflows.,Review each question carefully and submit when complete.,60,10,75,draft,7,2025-02-14 00:00:00,2025-02-15 00:00:00
14,Test Environment Review,This exam covers test environment review topics and expected workflows.,Review each question carefully and submit when complete.,45,9,75,active,11,2025-02-15 00:00:00,2025-02-16 00:00:00
15,Probity Standards Quiz,This exam covers probity standards quiz topics and expected workflows.,Review each question carefully and submit when complete.,45,10,50,active,7,2025-02-16 00:00:00,2025-02-17 00:00:00
16,Academic Honesty Survey,This exam covers academic honesty survey topics and expected workflows.,Review each question carefully and submit when complete.,20,9,65,draft,8,2025-02-17 00:00:00,2025-02-18 00:00:00
17,Alert Handling Challenge,This exam covers alert handling challenge topics and expected workflows.,Review each question carefully and submit when complete.,90,8,75,archived,12,2025-02-18 00:00:00,2025-02-19 00:00:00
18,Response Accuracy Exam,This exam covers response accuracy exam topics and expected workflows.,Review each question carefully and submit when complete.,60,12,70,archived,10,2025-02-19 00:00:00,2025-02-20 00:00:00
19,Timing Strategy Test,This exam covers timing strategy test topics and expected workflows.,Review each question carefully and submit when complete.,20,8,80,active,4,2025-02-20 00:00:00,2025-02-21 00:00:00
20,Focus Monitoring Assessment,This exam covers focus monitoring assessment topics and expected workflows.,Review each question carefully and submit when complete.,30,8,65,archived,9,2025-02-21 00:00:00,2025-02-22 00:00:00
21,Behavior Pattern Survey,This exam covers behavior pattern survey topics and expected workflows.,Review each question carefully and submit when complete.,30,12,60,draft,10,2025-02-22 00:00:00,2025-02-23 00:00:00
22,Test Session Diagnostics,This exam covers test session diagnostics topics and expected workflows.,Review each question carefully and submit when complete.,45,10,65,active,6,2025-02-23 00:00:00,2025-02-24 00:00:00
23,Camera Awareness Quiz,This exam covers camera awareness quiz topics and expected workflows.,Review each question carefully and submit when complete.,60,12,50,draft,2,2025-02-24 00:00:00,2025-02-25 00:00:00
24,Identity Verification Exam,This exam covers identity verification exam topics and expected workflows.,Review each question carefully and submit when complete.,30,11,80,active,2,2025-02-25 00:00:00,2025-02-26 00:00:00
25,Exam Flow Optimization,This exam covers exam flow optimization topics and expected workflows.,Review each question carefully and submit when complete.,90,9,70,draft,2,2025-02-26 00:00:00,2025-02-27 00:00:00
26,Question Quality Review,This exam covers question quality review topics and expected workflows.,Review each question carefully and submit when complete.,20,9,50,archived,8,2025-02-27 00:00:00,2025-02-28 00:00:00
27,Security Protocols Assessment,This exam covers security protocols assessment topics and expected workflows.,Review each question carefully and submit when complete.,30,11,75,archived,6,2025-02-28 00:00:00,2025-03-01 00:00:00
28,Proctoring Policy Exam,This exam covers proctoring policy exam topics and expected workflows.,Review each question carefully and submit when complete.,15,12,65,draft,5,2025-03-01 00:00:00,2025-03-02 00:00:00
29,Engagement Analytics Quiz,This exam covers engagement analytics quiz topics and expected workflows.,Review each question carefully and submit when complete.,15,11,80,draft,5,2025-03-02 00:00:00,2025-03-03 00:00:00
30,Reporting Accuracy Test,This exam covers reporting accuracy test topics and expected workflows.,Review each question carefully and submit when complete.,15,12,50,archived,4,2025-03-03 00:00:00,2025-03-04 00:00:00
31,Exam Delivery Validation,This exam covers exam delivery validation topics and expected workflows.,Review each question carefully and submit when complete.,45,8,50,draft,10,2025-03-04 00:00:00,2025-03-05 00:00:00
